Stage,Prefix,Slot1,Slot2,Slot3,Slot4,Slot5,Slot6
2,dd,,,,,,
2,de,details,design,description,december,designed,detail
2,df,,,,,,
2,dg,,,,,,
2,dh,,,,,,
2,di,did,different,die,diet,difference,discuss
2,dj,,,,,,
2,dk,,,,,,
2,dl,,,,,,
2,dm,,,,,,
2,dn,,,,,,
2,do,down,doesn't,done,doing,dog,door
2,dp,,,,,,
2,dq,,,,,,
2,dr,drive,driver,drivers,drink,drives,dress
2,ds,,,,,,
2,dt,,,,,,
2,du,during,due,duty,duties,dust,
2,dv,dvd,dvds,,,,
2,dw,,,,,,
2,dx,,,,,,
2,dy,,,,,,
2,dz,,,,,,
2,ea,east,easy,early,eat,eating,ear
2,eb,,,,,,
2,ec,economic,economy,economics,economies,,
2,ed,education,editor,educational,edge,editors,edges
2,ee,,,,,,
2,ef,effects,effect,effective,effort,efforts,effectively
2,eg,egg,eggs,,,,
2,eh,,,,,,
2,ei,eight,either,eighteen,eighty,,
2,ej,,,,,,
2,ek,,,,,,
2,el,else,elephant,eleven,electronics,electronic,electric
2,em,emails,employees,employee,empty,employer,employed
2,en,enough,enjoy,ends,ended,enjoyed,enjoying
2,eo,,,,,,
2,ep,episode,episodes,,,,
2,eq,equipment,equal,equally,,,
2,er,error,errors,,,,
2,es,especially,essays,essay,essential,escape,essentials
2,et,ethical,,,,,
2,eu,euro,euros,,,,
2,ev,event,ever,everything,everyone,evening,everybody
2,ew,,,,,,
2,ex,example,extra,exercise,examples,explain,exam
2,ey,eye,eyes,eyed,,,
2,ez,,,,,,
2,fa,family,fast,fact,far,face,fall
2,fb,,,,,,
2,fc,,,,,,
2,fd,,,,,,
2,fe,few,february,feel,feet,felt,festival
2,ff,,,,,,
2,fg,,,,,,
2,fh,,,,,,
2,fi,five,final,fire,fine,fish,fill
2,fj,,,,,,
2,fk,,,,,,
2,fl,flowers,floor,flight,flower,flights,fly
2,fm,,,,,,
2,fn,,,,,,
2,fo,form,food,four,follow,forms,football
2,fp,,,,,,
2,fq,,,,,,
2,fr,friend,friends,front,friday,friendly,fruit
2,fs,,,,,,
2,ft,,,,,,
2,fu,future,fun,funny,futures,further,furniture
2,fv,,,,,,
2,fw,,,,,,
2,fx,,,,,,
2,fy,,,,,,
2,fz,,,,,,
2,ga,game,garden,gave,gaming,gardens,gardening
2,gb,,,,,,
2,gc,,,,,,
2,gd,,,,,,
2,ge,getting,gets,geography,general,generally,generation
2,gf,,,,,,
2,gg,,,,,,
2,gh,ghost,,,,,
2,gi,give,girls,given,girl,gives,giving
2,gj,,,,,,
2,gk,,,,,,
2,gl,glass,glasses,global,glad,gloves,glove
2,gm,,,,,,
2,gn,,,,,,
2,go,going,got,goes,gone,gotten,government
2,gp,,,,,,
2,gq,,,,,,
2,gr,groups,green,growing,grow,gray,grown
2,gs,,,,,,
2,gt,,,,,,
2,gu,guitar,guess,guitars,guide,guides,guest
2,gv,,,,,,
2,gw,,,,,,
2,gx,,,,,,
2,gy,gym,,,,,
2,gz,,,,,,
2,ha,had,hard,hand,having,half,haven't
2,hb,,,,,,
2,hc,,,,,,
2,hd,,,,,,
2,he,here,help,health,her,head,held
2,hf,,,,,,
2,hg,,,,,,
2,hh,,,,,,
2,hi,high,him,history,highs,hill,hit
2,hj,,,,,,
2,hk,,,,,,
2,hl,,,,,,
2,hm,,,,,,
2,hn,,,,,,
2,ho,how,hotel,hotels,house,hours,however
2,hp,,,,,,
2,hq,,,,,,
2,hr,,,,,,
2,hs,,,,,,
2,ht,,,,,,
2,hu,husband,hundreds,hundred,hungry,human,huge
2,hv,,,,,,
2,hw,,,,,,
2,hx,,,,,,
2,hy,,,,,,
2,hz,,,,,,
2,ia,,,,,,
2,ib,,,,,,
2,ic,ice,,,,,
2,id,ideas,idea,identify,identified,ideal,identifying
2,ie,,,,,,
2,if,,,,,,
2,ig,ignore,ignored,,,,
2,ih,,,,,,
2,ii,,,,,,
2,ij,,,,,,
2,ik,,,,,,
2,il,ill,illness,illegal,illustrated,illustration,illustrations
2,im,important,improve,improved,improving,imagine,image
2,in,information,into,internet,include,interest,includes
2,io,,,,,,
2,ip,,,,,,
2,iq,,,,,,
2,ir,iron,,,,,
2,is,isn't,island,islands,issues,issue,issued
2,it,its,items,item,itself,,
2,iu,,,,,,
2,iv,,,,,,
2,iw,,,,,,
2,ix,,,,,,
2,iy,,,,,,
2,iz,,,,,,
2,ja,january,jacket,jackets,james,jazz,jam
2,jb,,,,,,
2,jc,,,,,,
2,jd,,,,,,
2,je,jeans,jewelry,,,,
2,jf,,,,,,
2,jg,,,,,,
2,jh,,,,,,
2,ji,,,,,,
2,jj,,,,,,
2,jk,,,,,,
2,jl,,,,,,
2,jm,,,,,,
2,jn,,,,,,
2,jo,joined,joining,joins,jokes,joke,journalists
2,jp,,,,,,
2,jq,,,,,,
2,jr,,,,,,
2,js,,,,,,
2,jt,,,,,,
2,ju,juice,jump,jumping,judge,judges,justice
2,jv,,,,,,
2,jw,,,,,,
2,jx,,,,,,
2,jy,,,,,,
2,jz,,,,,,
2,ka,,,,,,
2,kb,,,,,,
2,kc,,,,,,
2,kd,,,,,,
2,ke,kept,keeping,keys,keeps,keyboard,keyboards
2,kf,,,,,,
2,kg,,,,,,
2,kh,,,,,,
2,ki,kitchen,kids,king,kill,killed,kid
2,kj,,,,,,
2,kk,,,,,,
2,kl,,,,,,
2,km,,,,,,
2,kn,knew,knows,knowing,knowledge,knife,knee
2,ko,,,,,,
2,kp,,,,,,
2,kq,,,,,,
2,kr,,,,,,
2,ks,,,,,,
2,kt,,,,,,
2,ku,,,,,,
2,kv,,,,,,
2,kw,,,,,,
2,kx,,,,,,
2,ky,,,,,,
2,kz,,,,,,
2,la,large,language,land,later,late,languages
2,lb,,,,,,
2,lc,,,,,,
2,ld,,,,,,
2,le,learn,left,let,leave,let's,letter
2,lf,,,,,,
2,lg,,,,,,
2,lh,,,,,,
2,li,listing,little,live,library,listed,lines
2,lj,,,,,,
2,lk,,,,,,
2,ll,,,,,,
2,lm,,,,,,
2,ln,,,,,,
2,lo,long,love,look,looking,lot,lots
2,lp,,,,,,
2,lq,,,,,,
2,lr,,,,,,
2,ls,,,,,,
2,lt,,,,,,
2,lu,lunch,luck,lucky,luxury,lung,
2,lv,,,,,,
2,lw,,,,,,
2,lx,,,,,,
2,ly,,,,,,
2,lz,,,,,,
2,ma,make,many,map,made,main,man
2,mb,,,,,,
2,mc,,,,,,
2,md,,,,,,
2,me,message,member,members,men,meeting,messages
2,mf,,,,,,
2,mg,,,,,,
2,mh,,,,,,
2,mi,million,miles,minutes,minute,miss,mile
2,mj,,,,,,
2,mk,,,,,,
2,ml,,,,,,
2,mm,,,,,,
2,mn,,,,,,
2,mo,money,movies,model,movie,month,months
2,mp,,,,,,
2,mq,,,,,,
2,mr,,,,,,
2,ms,,,,,,
2,mt,,,,,,
2,mu,much,museum,museums,musical,musicians,musician
2,mv,,,,,,
2,mw,,,,,,
2,mx,,,,,,
2,my,myself,mystery,mysterious,,,
2,mz,,,,,,
2,na,natural,names,named,naturals,national,nature
2,nb,,,,,,
2,nc,,,,,,
2,nd,,,,,,
2,ne,next,need,never,needs,near,needed
2,nf,,,,,,
2,ng,,,,,,
2,nh,,,,,,
2,ni,night,nice,nine,nights,nightmare,nineteen
2,nj,,,,,,
2,nk,,,,,,
2,nl,,,,,,
2,nm,,,,,,
2,nn,,,,,,
2,no,north,note,november,notes,nothing,noted
2,np,,,,,,
2,nq,,,,,,
2,nr,,,,,,
2,ns,,,,,,
2,nt,,,,,,
2,nu,number,numbers,nursing,nurse,nurses,nuts
2,nv,,,,,,
2,nw,,,,,,
2,nx,,,,,,
2,ny,,,,,,
2,nz,,,,,,
2,oa,,,,,,
2,ob,object,objects,obviously,obvious,obtained,obtain
2,oc,october,ocean,occur,occurs,occasion,occasions
2,od,odds,odd,,,,
2,oe,,,,,,
2,of,off,office,often,offices,offers,offer
2,og,,,,,,
2,oh,,,,,,
2,oi,oil,oils,,,,
2,oj,,,,,,
2,ok,,,,,,
2,ol,old,,,,,
2,om,,,,,,
2,on,one,only,online,once,ones,ons
2,oo,,,,,,
2,op,open,opinion,opinions,opened,opens,opposite
2,oq,,,,,,
2,or,order,orders,orange,ordering,ordered,original
2,os,,,,,,
2,ot,other,others,otherwise,,,
2,ou,out,outside,ourselves,outdoor,outdoors,ours
2,ov,over,overseas,oven,overall,,
2,ow,own,owned,owns,owners,owner,owe
2,ox,,,,,,
2,oy,,,,,,
2,oz,,,,,,
2,pa,pages,party,park,paper,pay,past
2,pb,,,,,,
2,pc,,,,,,
2,pd,,,,,,
2,pe,personal,person,period,perfect,persons,personals
2,pf,,,,,,
2,pg,,,,,,
2,ph,phone,photo,photos,phones,photographs,phrase
2,pi,pictures,picture,piece,pink,pieces,piano
2,pj,,,,,,
2,pk,,,,,,
2,pl,place,plan,play,player,players,plans
2,pm,,,,,,
2,pn,,,,,,
2,po,posted,posts,point,possible,popular,points
2,pp,,,,,,
2,pq,,,,,,
2,pr,products,product,program,prices,project,programs
2,ps,psychology,psychologist,,,,
2,pt,,,,,,
2,pu,put,purple,puts,public,published,purpose
2,pv,,,,,,
2,pw,,,,,,
2,px,,,,,,
2,py,,,,,,
2,pz,,,,,,
2,qa,,,,,,
2,qb,,,,,,
2,qc,,,,,,
2,qd,,,,,,
2,qe,,,,,,
2,qf,,,,,,
2,qg,,,,,,
2,qh,,,,,,
2,qi,,,,,,
2,qj,,,,,,
2,qk,,,,,,
2,ql,,,,,,
2,qm,,,,,,
2,qn,,,,,,
2,qo,,,,,,
2,qp,,,,,,
2,qq,,,,,,
2,qr,,,,,,
2,qs,,,,,,
2,qt,,,,,,
2,qu,questions,question,quickly,quarter,quarters,quality
2,qv,,,,,,
2,qw,,,,,,
2,qx,,,,,,
2,qy,,,,,,
2,qz,,,,,,
2,ra,radio,rain,ran,radios,rating,rate
2,rb,,,,,,
2,rc,,,,,,
2,rd,,,,,,
2,re,results,really,red,result,reports,reading
2,rf,,,,,,
2,rg,,,,,,
2,rh,rhythm,,,,,
2,ri,river,rich,ride,rice,riding,rivers
2,rj,,,,,,
2,rk,,,,,,
2,rl,,,,,,
2,rm,,,,,,
2,rn,,,,,,
2,ro,room,road,rooms,roads,routine,routines
2,rp,,,,,,
2,rq,,,,,,
2,rr,,,,,,
2,rs,,,,,,
2,rt,,,,,,
2,ru,run,rules,rule,runs,ruling,ruled
2,rv,,,,,,
2,rw,,,,,,
2,rx,,,,,,
2,ry,,,,,,
2,rz,,,,,,
2,sa,same,say,says,sat,saturday,saw
2,sb,,,,,,
2,sc,science,schools,sciences,scientists,scientist,screen
2,sd,,,,,,
2,se,send,section,second,september,sell,seen
2,sf,,,,,,
2,sg,,,,,,
2,sh,show,shop,shopping,share,short,shows
2,si,sites,similar,six,situation,sister,sit
2,sj,,,,,,
2,sk,skills,skill,skirt,skilled,skirts,skin
2,sl,sleep,slow,sleeping,sleeps,slowly,slightly
2,sm,small,smart,smoking,smoke,smile,smell
2,sn,snow,snake,sneaker,,,
2,so,south,something,sound,soon,someone,song
2,sp,special,sports,space,spring,sport,speak
2,sq,square,,,,,
2,sr,,,,,,
2,ss,,,,,,
2,st,store,students,still,start,study,street
2,su,subject,sun,sure,sunday,summer,success
2,sv,,,,,,
2,sw,swimming,swim,sweet,switch,switches,switching
2,sx,,,,,,
2,sy,system,systems,symbol,symbols,symptoms,sympathy
2,sz,,,,,,
2,ta,take,table,talk,taken,taking,takes
2,tb,,,,,,
2,tc,,,,,,
2,td,,,,,,
2,te,text,team,test,tell,telephone,testing
2,tf,,,,,,
2,tg,,,,,,
2,th,their,there,that's,than,them,then
2,ti,times,title,tickets,titles,ticket,timing
2,tj,,,,,,
2,tk,,,,,,
2,tl,,,,,,
2,tm,,,,,,
2,tn,,,,,,
2,to,today,too,topic,topics,together,town
2,tp,,,,,,
2,tq,,,,,,
2,tr,travel,try,true,tree,trying,traffic
2,ts,,,,,,
2,tt,,,,,,
2,tu,turn,tuesday,turned,turns,turning,tube
2,tv,tvs,,,,,
2,tw,two,twenty,twice,twelve,twin,twins
2,tx,,,,,,
2,ty,type,types,typing,typical,typically,
2,tz,,,,,,
2,ua,,,,,,
2,ub,,,,,,
2,uc,,,,,,
2,ud,,,,,,
2,ue,,,,,,
2,uf,,,,,,
2,ug,ugly,,,,,
2,uh,,,,,,
2,ui,,,,,,
2,uj,,,,,,
2,uk,,,,,,
2,ul,ultimately,,,,,
2,um,umbrella,,,,,
2,un,university,understand,universities,understood,uncle,united
2,uo,,,,,,
2,up,ups,updated,upon,update,updates,updating
2,uq,,,,,,
2,ur,urban,urge,,,,
2,us,usually,useful,uses,user,users,usual
2,ut,,,,,,
2,uu,,,,,,
2,uv,,,,,,
2,uw,,,,,,
2,ux,,,,,,
2,uy,,,,,,
2,uz,,,,,,
2,va,vacation,vacations,valley,variety,varieties,value
2,vb,,,,,,
2,vc,,,,,,
2,vd,,,,,,
2,ve,vegetables,vegetable,vehicle,vehicles,version,versions
2,vf,,,,,,
2,vg,,,,,,
2,vh,,,,,,
2,vi,visitors,visiting,visitor,visited,views,village
2,vj,,,,,,
2,vk,,,,,,
2,vl,,,,,,
2,vm,,,,,,
2,vn,,,,,,
2,vo,voice,voices,vote,votes,volunteer,voting
2,vp,,,,,,
2,vq,,,,,,
2,vr,,,,,,
2,vs,,,,,,
2,vt,,,,,,
2,vu,,,,,,
2,vv,,,,,,
2,vw,,,,,,
2,vx,,,,,,
2,vy,,,,,,
2,vz,,,,,,
2,wa,way,want,water,wasn't,watch,wanted
2,wb,,,,,,
2,wc,,,,,,
2,wd,,,,,,
2,we,were,well,website,we're,west,week
2,wf,,,,,,
2,wg,,,,,,
2,wh,when,who,where,white,why,what's
2,wi,without,windows,window,win,wine,winter
2,wj,,,,,,
2,wk,,,,,,
2,wl,,,,,,
2,wm,,,,,,
2,wn,,,,,,
2,wo,world,work,women,wouldn't,word,works
2,wp,,,,,,
2,wq,,,,,,
2,wr,write,writing,wrote,wrong,writer,writers
2,ws,,,,,,
2,wt,,,,,,
2,wu,,,,,,
2,wv,,,,,,
2,ww,,,,,,
2,wx,,,,,,
2,wy,,,,,,
2,wz,,,,,,
2,xa,,,,,,
2,xb,,,,,,
2,xc,,,,,,
2,xd,,,,,,
2,xe,,,,,,
2,xf,,,,,,
2,xg,,,,,,
2,xh,,,,,,
2,xi,,,,,,
2,xj,,,,,,
2,xk,,,,,,
2,xl,,,,,,
2,xm,,,,,,
2,xn,,,,,,
2,xo,,,,,,
2,xp,,,,,,
2,xq,,,,,,
2,xr,,,,,,
2,xs,,,,,,
2,xt,,,,,,
2,xu,,,,,,
2,xv,,,,,,
2,xw,,,,,,
2,xx,,,,,,
2,xy,,,,,,
2,xz,,,,,,
2,ya,yard,yards,,,,
2,yb,,,,,,
2,yc,,,,,,
2,yd,,,,,,
2,ye,yellow,yesterday,yeah,yet,,
2,yf,,,,,,
2,yg,,,,,,
2,yh,,,,,,
2,yi,,,,,,
2,yj,,,,,,
2,yk,,,,,,
2,yl,,,,,,
2,ym,,,,,,
2,yn,,,,,,
2,yo,young,you've,you'll,yourself,yours,youth
2,yp,,,,,,
2,yq,,,,,,
2,yr,,,,,,
2,ys,,,,,,
2,yt,,,,,,
2,yu,,,,,,
2,yv,,,,,,
2,yw,,,,,,
2,yx,,,,,,
2,yy,,,,,,
2,yz,,,,,,
2,za,,,,,,
2,zb,,,,,,
2,zc,,,,,,
2,zd,,,,,,
2,ze,,,,,,
2,zf,,,,,,
2,zg,,,,,,
2,zh,,,,,,
2,zi,,,,,,
2,zj,,,,,,
2,zk,,,,,,
2,zl,,,,,,
2,zm,,,,,,
2,zn,,,,,,
2,zo,,,,,,
2,zp,,,,,,
2,zq,,,,,,
2,zr,,,,,,
2,zs,,,,,,
2,zt,,,,,,
2,zu,,,,,,
2,zv,,,,,,
2,zw,,,,,,
2,zx,,,,,,
2,zy,,,,,,
2,zz,,,,,,
